Industry,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
Manufacturing,-3.1,19.8,10.9,-1.9,9.3,13.9,7,-2.9,2.6,0.2,-0.7,7.4,30.4,1.9,-11.3,-3.6,3.4,2.5,9.4,5.6,11.2,-13.6,11.3,17.2,1.4,5.3,2.8,6.3,11.1,11.9,2.8,0,0,0,0,0,0,0,0
Construction,-7.3,29.8,-39.5,-0.8,4.7,2.1,-1.3,4.4,3,-6.6,1.8,0.6,4.4,8.5,2.9,7.6,1.2,0,0.1,2.1,-3,2.5,-1.5,-4.2,-5.3,-6.3,-4.9,-4.4,9.6,-5.5,9.9,0,0,0,0,0,0,0,0
Wholesale Trade,3.4,12.9,3.9,1.9,2.5,2.3,0.3,1.7,1.7,3.6,5,4.6,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retail Trade,6.7,13.8,-16,-2.4,1.7,1.7,4.2,5.4,-1,-1.6,-1.8,-0.2,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation & Storage,1.1,11.6,-15.2,-1.3,-2.1,3.4,1.4,0.5,-1.2,-1,0.7,1.3,4.4,-9.4,-2.5,6.9,1.1,3.7,11.4,-2.1,4.2,-4.4,-1,6.1,2.3,2,1.6,4.5,6.1,4.7,0.7,0,0,0,0,0,0,0,0
Accommodation,-7.8,8.3,-1.5,-0.8,6.8,4.2,0.1,0.6,-1.1,1.1,-3.5,8.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food & Beverage Services,14.5,0.1,-26.1,-2.4,-0.6,-3,0.1,-3.7,-1.3,1.4,5.4,2.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information & Communications,-1.1,7.2,8.2,6.4,1.6,2.7,4.5,-4.5,2.4,3.1,2.5,-1.8,0.7,-3.4,-1.3,-2.9,-3.6,2.5,7.6,9.8,9.4,5.9,8.2,11.2,6.5,12.6,5.1,9,8.7,11.1,10.2,0,0,0,0,0,0,0,0
Finance & Insurance,-3.5,6.8,4.1,5.2,1.5,4.1,-0.9,1.5,4.6,13.7,1.7,1.4,10.1,-2.1,-9.8,0.3,3.6,-2.6,2.6,15.2,-0.9,2.3,-11.3,-1.1,-22.8,3.5,6.8,-11.1,-3.8,9.9,12,0,0,0,0,0,0,0,0
Real Estate,13.6,24.8,-7.3,-0.6,0.9,-7,6.1,3.9,-5.1,8.7,-3.3,-0.2,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Professional Services,1.7,3.5,-11.1,3.2,-0.3,5,0.9,4,-5.5,-5.9,-0.3,-4.1,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administrative & Support Services,6.4,-9,-15.2,-19.2,0.5,1.9,9.9,8.4,4.5,5.1,2.3,16.7,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Services Industries,1.9,4.9,-7.5,0.4,0,0.6,0.1,-1.6,-0.8,-1.2,-0.3,1,6.7,0.2,-3.6,-2.6,0.1,0.6,2,-0.5,1.8,2,3.8,0.4,-2.4,0.2,2.7,2.8,3.1,3.6,0.4,0,0,0,0,0,0,0,0
