Year,Industry,Employed
2022,Manufacturing,-3.1
2022,Construction,-7.3
2022,Wholesale Trade,3.4
2022,Retail Trade,6.7
2022,Transportation & Storage,1.1
2022,Accommodation,-7.8
2022,Food & Beverage Services,14.5
2022,Information & Communications,-1.1
2022,Finance & Insurance,-3.5
2022,Real Estate,13.6
2022,Professional Services,1.7
2022,Administrative & Support Services,6.4
2022,Other Services Industries,1.9
2021,Manufacturing,19.8
2021,Construction,29.8
2021,Wholesale Trade,12.9
2021,Retail Trade,13.8
2021,Transportation & Storage,11.6
2021,Accommodation,8.3
2021,Food & Beverage Services,0.1
2021,Information & Communications,7.2
2021,Finance & Insurance,6.8
2021,Real Estate,24.8
2021,Professional Services,3.5
2021,Administrative & Support Services,-9.0
2021,Other Services Industries,4.9
2020,Manufacturing,10.9
2020,Construction,-39.5
2020,Wholesale Trade,3.9
2020,Retail Trade,-16.0
2020,Transportation & Storage,-15.2
2020,Accommodation,-1.5
2020,Food & Beverage Services,-26.1
2020,Information & Communications,8.2
2020,Finance & Insurance,4.1
2020,Real Estate,-7.3
2020,Professional Services,-11.1
2020,Administrative & Support Services,-15.2
2020,Other Services Industries,-7.5
2019,Manufacturing,-1.9
2019,Construction,-0.8
2019,Wholesale Trade,1.9
2019,Retail Trade,-2.4
2019,Transportation & Storage,-1.3
2019,Accommodation,-0.8
2019,Food & Beverage Services,-2.4
2019,Information & Communications,6.4
2019,Finance & Insurance,5.2
2019,Real Estate,-0.6
2019,Professional Services,3.2
2019,Administrative & Support Services,-19.2
2019,Other Services Industries,0.4
2018,Manufacturing,9.3
2018,Construction,4.7
2018,Wholesale Trade,2.5
2018,Retail Trade,1.7
2018,Transportation & Storage,-2.1
2018,Accommodation,6.8
2018,Food & Beverage Services,-0.6
2018,Information & Communications,1.6
2018,Finance & Insurance,1.5
2018,Real Estate,0.9
2018,Professional Services,-0.3
2018,Administrative & Support Services,0.5
2018,Other Services Industries,0.0
2017,Manufacturing,13.9
2017,Construction,2.1
2017,Wholesale Trade,2.3
2017,Retail Trade,1.7
2017,Transportation & Storage,3.4
2017,Accommodation,4.2
2017,Food & Beverage Services,-3.0
2017,Information & Communications,2.7
2017,Finance & Insurance,4.1
2017,Real Estate,-7.0
2017,Professional Services,5.0
2017,Administrative & Support Services,1.9
2017,Other Services Industries,0.6
2016,Manufacturing,7.0
2016,Construction,-1.3
2016,Wholesale Trade,0.3
2016,Retail Trade,4.2
2016,Transportation & Storage,1.4
2016,Accommodation,0.1
2016,Food & Beverage Services,0.1
2016,Information & Communications,4.5
2016,Finance & Insurance,-0.9
2016,Real Estate,6.1
2016,Professional Services,0.9
2016,Administrative & Support Services,9.9
2016,Other Services Industries,0.1
2015,Manufacturing,-2.9
2015,Construction,4.4
2015,Wholesale Trade,1.7
2015,Retail Trade,5.4
2015,Transportation & Storage,0.5
2015,Accommodation,0.6
2015,Food & Beverage Services,-3.7
2015,Information & Communications,-4.5
2015,Finance & Insurance,1.5
2015,Real Estate,3.9
2015,Professional Services,4.0
2015,Administrative & Support Services,8.4
2015,Other Services Industries,-1.6
2014,Manufacturing,2.6
2014,Construction,3.0
2014,Wholesale Trade,1.7
2014,Retail Trade,-1.0
2014,Transportation & Storage,-1.2
2014,Accommodation,-1.1
2014,Food & Beverage Services,-1.3
2014,Information & Communications,2.4
2014,Finance & Insurance,4.6
2014,Real Estate,-5.1
2014,Professional Services,-5.5
2014,Administrative & Support Services,4.5
2014,Other Services Industries,-0.8
2013,Manufacturing,0.2
2013,Construction,-6.6
2013,Wholesale Trade,3.6
2013,Retail Trade,-1.6
2013,Transportation & Storage,-1.0
2013,Accommodation,1.1
2013,Food & Beverage Services,1.4
2013,Information & Communications,3.1
2013,Finance & Insurance,13.7
2013,Real Estate,8.7
2013,Professional Services,-5.9
2013,Administrative & Support Services,5.1
2013,Other Services Industries,-1.2
2012,Manufacturing,-0.7
2012,Construction,1.8
2012,Wholesale Trade,5.0
2012,Retail Trade,-1.8
2012,Transportation & Storage,0.7
2012,Accommodation,-3.5
2012,Food & Beverage Services,5.4
2012,Information & Communications,2.5
2012,Finance & Insurance,1.7
2012,Real Estate,-3.3
2012,Professional Services,-0.3
2012,Administrative & Support Services,2.3
2012,Other Services Industries,-0.3
2011,Manufacturing,7.4
2011,Construction,0.6
2011,Wholesale Trade,4.6
2011,Retail Trade,-0.2
2011,Transportation & Storage,1.3
2011,Accommodation,8.5
2011,Food & Beverage Services,2.9
2011,Information & Communications,-1.8
2011,Finance & Insurance,1.4
2011,Real Estate,-0.2
2011,Professional Services,-4.1
2011,Administrative & Support Services,16.7
2011,Other Services Industries,1.0
2010,Manufacturing,30.4
2010,Construction,4.4
2010,Wholesale Trade,15.6
2010,Retail Trade,-1.7
2010,Transportation & Storage,4.4
2010,Accommodation,5.5
2010,Food & Beverage Services,5.9
2010,Information & Communications,0.7
2010,Finance & Insurance,10.1
2010,Real Estate,7.3
2010,Professional Services,-1.2
2010,Administrative & Support Services,6.9
2010,Other Services Industries,6.7
2009,Manufacturing,1.9
2009,Construction,8.5
2009,Wholesale Trade,0.0
2009,Retail Trade,0.0
2009,Transportation & Storage,-9.4
2009,Accommodation,0.0
2009,Food & Beverage Services,0.0
2009,Information & Communications,-3.4
2009,Finance & Insurance,-2.1
2009,Real Estate,0.0
2009,Professional Services,0.0
2009,Administrative & Support Services,0.0
2009,Other Services Industries,0.2
2008,Manufacturing,-11.3
2008,Construction,2.9
2008,Wholesale Trade,0.0
2008,Retail Trade,0.0
2008,Transportation & Storage,-2.5
2008,Accommodation,0.0
2008,Food & Beverage Services,0.0
2008,Information & Communications,-1.3
2008,Finance & Insurance,-9.8
2008,Real Estate,0.0
2008,Professional Services,0.0
2008,Administrative & Support Services,0.0
2008,Other Services Industries,-3.6
2007,Manufacturing,-3.6
2007,Construction,7.6
2007,Wholesale Trade,0.0
2007,Retail Trade,0.0
2007,Transportation & Storage,6.9
2007,Accommodation,0.0
2007,Food & Beverage Services,0.0
2007,Information & Communications,-2.9
2007,Finance & Insurance,0.3
2007,Real Estate,0.0
2007,Professional Services,0.0
2007,Administrative & Support Services,0.0
2007,Other Services Industries,-2.6
2006,Manufacturing,3.4
2006,Construction,1.2
2006,Wholesale Trade,0.0
2006,Retail Trade,0.0
2006,Transportation & Storage,1.1
2006,Accommodation,0.0
2006,Food & Beverage Services,0.0
2006,Information & Communications,-3.6
2006,Finance & Insurance,3.6
2006,Real Estate,0.0
2006,Professional Services,0.0
2006,Administrative & Support Services,0.0
2006,Other Services Industries,0.1
2005,Manufacturing,2.5
2005,Construction,0.0
2005,Wholesale Trade,0.0
2005,Retail Trade,0.0
2005,Transportation & Storage,3.7
2005,Accommodation,0.0
2005,Food & Beverage Services,0.0
