Industry,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 
Manufacturing,110.9515,113.4471,100.2086,84.9652,87.6308,79.0518,68.7033,63.5745,64.6299,62.2043,61.7476,62.5816,57.2297,45.3255
Construction,13.4808,14.6179,14.323,18.4285,18.5249,17.5183,16.731,16.9994,15.9119,15.2523,16.4115,16.2829,16.0297,15.5653
Wholesale Trade,111.4384,106.6952,95.8401,91.1457,90.4825,86.9806,84.68,83.3696,80.7157,77.5675,74.013,71.3296,66.4146,58.3596
Retail Trade,21.981,20.4596,19.1968,20.9851,21.972,21.3652,20.7315,19.6805,18.567,18.2028,18.1856,18.5123,17.982,18.6564
Transportation & Storage,53.6076,52.7047,47.9761,55.1869,56.5969,56.406,54.0356,52.3155,52.3268,51.9776,52.211,51.5377,49.7651,48.3572
Accommodation,48.9428,53.5294,51.866,49.5976,50.3193,47.102,45.2454,45.1776,44.366,43.4222,43.248,44.5816,40.9042,39.3685
Food & Beverage Services,9.2029,8.1498,8.2464,10.7405,10.9711,10.6712,10.9223,10.8203,10.8923,10.8299,10.5081,10.0367,9.4596,8.9978
Information & Communications,77.4654,78.1413,72.4142,66.9235,64.4419,62.3726,61.5738,58.3418,60.5305,57.8396,55.6648,54.3382,54.4334,55.4549
Finance & Insurance,152.3936,156.6073,145.522,140.9276,136.2225,133.2457,127.3556,126.4437,123.1349,116.3226,101.9454,99.8711,96.8627,90.5868
Real Estate,126.7216,109.699,90.8438,98.7944,98.7838,98.1504,105.2884,99.313,94.2805,97.3098,90.6327,91.3091,91.1406,85.6952
Professional Services,49.7555,48.7409,47.1177,52.9054,52.3083,51.673,48.7287,48.0334,45.9239,47.6243,50.213,50.4892,51.8792,53.3073
Administrative & Support Services,31.1916,29.2767,32.1237,37.3919,47.0392,46.6731,45.2278,40.3145,36.0801,34.1081,32.2707,31.8656,27.0739,25.3155
Other Services Industries,21.8319,21.4856,20.4024,21.8886,22.0093,21.8937,21.7259,21.8082,22.0361,21.8987,22.1144,22.053,21.5852,20.2943
