Year,Age,Industry,Employed
2022,15-19,Manufacturing,0.9
2022,15-19,Construction,0.2
2022,15-19,Wholesale & Retail Trade,0.9
2022,15-19,Transportation & Storage,0.9
2022,15-19,Accommodation & Food Services,1.7
2022,15-19,Information & Communications,0.2
2022,15-19,Financial & Insurance Services,0.3
2022,15-19,Real Estate Services,0.0
2022,15-19,Professional Services,0.8
2022,15-19,Administrative & Support Services,0.1
2022,15-19,Public Administration & Education,10.4
2022,15-19,Health & Social Services,0.1
2022,15-19,"Arts, Entertainment & Recreation",0.2
2022,15-19,"Other Community, Social & Personal Services",0.1
2022,15-19,Others,0.1
2022,20-24,Manufacturing,2.4
2022,20-24,Construction,1.1
2022,20-24,Wholesale & Retail Trade,3.3
2022,20-24,Transportation & Storage,4.9
2022,20-24,Accommodation & Food Services,2.5
2022,20-24,Information & Communications,2.6
2022,20-24,Financial & Insurance Services,2.6
2022,20-24,Real Estate Services,0.3
2022,20-24,Professional Services,2.2
2022,20-24,Administrative & Support Services,1.6
2022,20-24,Public Administration & Education,30.6
2022,20-24,Health & Social Services,2.1
2022,20-24,"Arts, Entertainment & Recreation",0.7
2022,20-24,"Other Community, Social & Personal Services",0.6
2022,20-24,Others,0.0
2022,25-29,Manufacturing,7.3
2022,25-29,Construction,2.9
2022,25-29,Wholesale & Retail Trade,9.6
2022,25-29,Transportation & Storage,9.8
2022,25-29,Accommodation & Food Services,4.1
2022,25-29,Information & Communications,11.5
2022,25-29,Financial & Insurance Services,10.8
2022,25-29,Real Estate Services,1.1
2022,25-29,Professional Services,10.9
2022,25-29,Administrative & Support Services,3.7
2022,25-29,Public Administration & Education,15.7
2022,25-29,Health & Social Services,4.5
2022,25-29,"Arts, Entertainment & Recreation",1.3
2022,25-29,"Other Community, Social & Personal Services",1.2
2022,25-29,Others,1.1
2022,30-34,Manufacturing,12.4
2022,30-34,Construction,5.3
2022,30-34,Wholesale & Retail Trade,17.0
2022,30-34,Transportation & Storage,11.8
2022,30-34,Accommodation & Food Services,4.0
2022,30-34,Information & Communications,14.2
2022,30-34,Financial & Insurance Services,19.1
2022,30-34,Real Estate Services,3.2
2022,30-34,Professional Services,16.0
2022,30-34,Administrative & Support Services,6.0
2022,30-34,Public Administration & Education,20.6
2022,30-34,Health & Social Services,6.2
2022,30-34,"Arts, Entertainment & Recreation",2.5
2022,30-34,"Other Community, Social & Personal Services",2.9
2022,30-34,Others,1.6
2022,35-39,Manufacturing,14.7
2022,35-39,Construction,5.3
2022,35-39,Wholesale & Retail Trade,17.9
2022,35-39,Transportation & Storage,13.2
2022,35-39,Accommodation & Food Services,3.9
2022,35-39,Information & Communications,12.4
2022,35-39,Financial & Insurance Services,21.5
2022,35-39,Real Estate Services,2.1
2022,35-39,Professional Services,13.8
2022,35-39,Administrative & Support Services,5.1
2022,35-39,Public Administration & Education,18.5
2022,35-39,Health & Social Services,4.5
2022,35-39,"Arts, Entertainment & Recreation",2.1
2022,35-39,"Other Community, Social & Personal Services",2.9
2022,35-39,Others,1.8
2022,40-44,Manufacturing,18.5
2022,40-44,Construction,8.0
2022,40-44,Wholesale & Retail Trade,21.3
2022,40-44,Transportation & Storage,14.3
2022,40-44,Accommodation & Food Services,5.5
2022,40-44,Information & Communications,11.8
2022,40-44,Financial & Insurance Services,17.6
2022,40-44,Real Estate Services,3.8
2022,40-44,Professional Services,12.6
2022,40-44,Administrative & Support Services,5.3
2022,40-44,Public Administration & Education,18.7
2022,40-44,Health & Social Services,3.7
2022,40-44,"Arts, Entertainment & Recreation",1.8
2022,40-44,"Other Community, Social & Personal Services",1.9
2022,40-44,Others,1.8
2022,45-49,Manufacturing,21.6
2022,45-49,Construction,9.2
2022,45-49,Wholesale & Retail Trade,22.9
2022,45-49,Transportation & Storage,17.4
2022,45-49,Accommodation & Food Services,5.7
2022,45-49,Information & Communications,9.3
2022,45-49,Financial & Insurance Services,15.1
2022,45-49,Real Estate Services,3.6
2022,45-49,Professional Services,13.2
2022,45-49,Administrative & Support Services,5.1
2022,45-49,Public Administration & Education,18.2
2022,45-49,Health & Social Services,3.6
2022,45-49,"Arts, Entertainment & Recreation",2.5
2022,45-49,"Other Community, Social & Personal Services",3.3
2022,45-49,Others,2.1
2022,50-54,Manufacturing,20.6
2022,50-54,Construction,8.0
2022,50-54,Wholesale & Retail Trade,19.2
2022,50-54,Transportation & Storage,18.5
2022,50-54,Accommodation & Food Services,4.8
2022,50-54,Information & Communications,8.2
2022,50-54,Financial & Insurance Services,11.4
2022,50-54,Real Estate Services,3.2
2022,50-54,Professional Services,12.9
2022,50-54,Administrative & Support Services,6.7
2022,50-54,Public Administration & Education,11.5
2022,50-54,Health & Social Services,3.4
2022,50-54,"Arts, Entertainment & Recreation",1.6
2022,50-54,"Other Community, Social & Personal Services",2.8
2022,50-54,Others,1.1
2022,55-59,Manufacturing,18.3
2022,55-59,Construction,10.4
2022,55-59,Wholesale & Retail Trade,22.5
2022,55-59,Transportation & Storage,20.9
2022,55-59,Accommodation & Food Services,7.3
2022,55-59,Information & Communications,4.7
2022,55-59,Financial & Insurance Services,8.2
2022,55-59,Real Estate Services,4.0
2022,55-59,Professional Services,10.2
2022,55-59,Administrative & Support Services,8.7
2022,55-59,Public Administration & Education,9.4
2022,55-59,Health & Social Services,4.0
2022,55-59,"Arts, Entertainment & Recreation",1.5
2022,55-59,"Other Community, Social & Personal Services",4.1
2022,55-59,Others,1.0
2022,60-64,Manufacturing,13.7
2022,60-64,Construction,9.9
2022,60-64,Wholesale & Retail Trade,18.0
2022,60-64,Transportation & Storage,19.9
2022,60-64,Accommodation & Food Services,6.7
2022,60-64,Information & Communications,2.8
2022,60-64,Financial & Insurance Services,5.4
2022,60-64,Real Estate Services,3.6
2022,60-64,Professional Services,5.5
2022,60-64,Administrative & Support Services,10.5
2022,60-64,Public Administration & Education,6.4
2022,60-64,Health & Social Services,3.3
2022,60-64,"Arts, Entertainment & Recreation",0.4
2022,60-64,"Other Community, Social & Personal Services",3.7
2022,60-64,Others,1.8
2022,65+,Manufacturing,11.2
2022,65+,Construction,8.4
2022,65+,Wholesale & Retail Trade,21.6
2022,65+,Transportation & Storage,21.0
2022,65+,Accommodation & Food Services,8.5
2022,65+,Information & Communications,1.7
2022,65+,Financial & Insurance Services,5.5
2022,65+,Real Estate Services,4.5
2022,65+,Professional Services,6.2
2022,65+,Administrative & Support Services,17.8
2022,65+,Public Administration & Education,4.5
2022,65+,Health & Social Services,3.4
2022,65+,"Arts, Entertainment & Recreation",1.1
2022,65+,"Other Community, Social & Personal Services",6.4
2022,65+,Others,2.3
2021,15-19,Manufacturing,0.4
2021,15-19,Construction,0.1
2021,15-19,Wholesale & Retail Trade,1.1
2021,15-19,Transportation & Storage,0.6
2021,15-19,Accommodation & Food Services,2.5
2021,15-19,Information & Communications,0.4
2021,15-19,Financial & Insurance Services,0.2
2021,15-19,Real Estate Services,0.1
2021,15-19,Professional Services,0.6
2021,15-19,Administrative & Support Services,0.1
2021,15-19,Public Administration & Education,9.3
2021,15-19,Health & Social Services,0.4
2021,15-19,"Arts, Entertainment & Recreation",0.1
2021,15-19,"Other Community, Social & Personal Services",0.1
2021,15-19,Others,0.0
2021,20-24,Manufacturing,2.7
2021,20-24,Construction,0.9
2021,20-24,Wholesale & Retail Trade,3.5
2021,20-24,Transportation & Storage,4.8
2021,20-24,Accommodation & Food Services,3.2
2021,20-24,Information & Communications,2.3
2021,20-24,Financial & Insurance Services,2.3
2021,20-24,Real Estate Services,0.3
2021,20-24,Professional Services,3.0
2021,20-24,Administrative & Support Services,1.6
2021,20-24,Public Administration & Education,34.2
2021,20-24,Health & Social Services,3.2
2021,20-24,"Arts, Entertainment & Recreation",0.7
2021,20-24,"Other Community, Social & Personal Services",0.4
2021,20-24,Others,0.1
2021,25-29,Manufacturing,9.3
2021,25-29,Construction,4.0
2021,25-29,Wholesale & Retail Trade,12.2
2021,25-29,Transportation & Storage,11.6
2021,25-29,Accommodation & Food Services,4.6
2021,25-29,Information & Communications,11.6
2021,25-29,Financial & Insurance Services,14.9
2021,25-29,Real Estate Services,1.4
2021,25-29,Professional Services,12.0
2021,25-29,Administrative & Support Services,4.5
2021,25-29,Public Administration & Education,18.8
2021,25-29,Health & Social Services,4.5
2021,25-29,"Arts, Entertainment & Recreation",1.9
2021,25-29,"Other Community, Social & Personal Services",2.4
2021,25-29,Others,1.2
2021,30-34,Manufacturing,11.6
2021,30-34,Construction,6.5
2021,30-34,Wholesale & Retail Trade,17.8
2021,30-34,Transportation & Storage,13.3
2021,30-34,Accommodation & Food Services,4.3
2021,30-34,Information & Communications,13.8
2021,30-34,Financial & Insurance Services,20.5
2021,30-34,Real Estate Services,2.3
2021,30-34,Professional Services,13.7
2021,30-34,Administrative & Support Services,5.8
2021,30-34,Public Administration & Education,21.1
2021,30-34,Health & Social Services,6.0
2021,30-34,"Arts, Entertainment & Recreation",3.0
2021,30-34,"Other Community, Social & Personal Services",3.3
2021,30-34,Others,2.5
2021,35-39,Manufacturing,14.7
2021,35-39,Construction,5.6
2021,35-39,Wholesale & Retail Trade,20.3
2021,35-39,Transportation & Storage,12.2
2021,35-39,Accommodation & Food Services,4.6
2021,35-39,Information & Communications,11.5
2021,35-39,Financial & Insurance Services,18.5
2021,35-39,Real Estate Services,2.8
2021,35-39,Professional Services,14.1
2021,35-39,Administrative & Support Services,5.7
2021,35-39,Public Administration & Education,19.7
2021,35-39,Health & Social Services,5.3
2021,35-39,"Arts, Entertainment & Recreation",2.7
2021,35-39,"Other Community, Social & Personal Services",2.4
2021,35-39,Others,1.6
2021,40-44,Manufacturing,19.3
2021,40-44,Construction,6.4
2021,40-44,Wholesale & Retail Trade,18.8
2021,40-44,Transportation & Storage,15.0
2021,40-44,Accommodation & Food Services,3.9
2021,40-44,Information & Communications,9.4
2021,40-44,Financial & Insurance Services,15.4
2021,40-44,Real Estate Services,2.9
2021,40-44,Professional Services,13.1
2021,40-44,Administrative & Support Services,5.5
2021,40-44,Public Administration & Education,19.6
2021,40-44,Health & Social Services,3.5
2021,40-44,"Arts, Entertainment & Recreation",2.3
2021,40-44,"Other Community, Social & Personal Services",2.2
2021,40-44,Others,1.6
2021,45-49,Manufacturing,19.1
2021,45-49,Construction,8.4
2021,45-49,Wholesale & Retail Trade,19.3
2021,45-49,Transportation & Storage,18.4
2021,45-49,Accommodation & Food Services,4.7
2021,45-49,Information & Communications,9.1
2021,45-49,Financial & Insurance Services,13.1
2021,45-49,Real Estate Services,3.1
2021,45-49,Professional Services,12.3
2021,45-49,Administrative & Support Services,4.1
2021,45-49,Public Administration & Education,15.2
2021,45-49,Health & Social Services,2.7
2021,45-49,"Arts, Entertainment & Recreation",1.4
2021,45-49,"Other Community, Social & Personal Services",2.4
2021,45-49,Others,1.7
2021,50-54,Manufacturing,15.8
2021,50-54,Construction,8.7
2021,50-54,Wholesale & Retail Trade,17.3
2021,50-54,Transportation & Storage,14.6
2021,50-54,Accommodation & Food Services,5.0
2021,50-54,Information & Communications,5.2
2021,50-54,Financial & Insurance Services,10.0
2021,50-54,Real Estate Services,2.7
2021,50-54,Professional Services,9.5
2021,50-54,Administrative & Support Services,6.5
2021,50-54,Public Administration & Education,9.7
2021,50-54,Health & Social Services,2.6
2021,50-54,"Arts, Entertainment & Recreation",1.2
2021,50-54,"Other Community, Social & Personal Services",3.5
2021,50-54,Others,1.7
2021,55-59,Manufacturing,15.4
2021,55-59,Construction,10.6
2021,55-59,Wholesale & Retail Trade,21.5
2021,55-59,Transportation & Storage,19.6
2021,55-59,Accommodation & Food Services,5.4
2021,55-59,Information & Communications,3.3
2021,55-59,Financial & Insurance Services,6.3
2021,55-59,Real Estate Services,2.1
2021,55-59,Professional Services,9.5
2021,55-59,Administrative & Support Services,8.0
2021,55-59,Public Administration & Education,8.9
2021,55-59,Health & Social Services,2.8
2021,55-59,"Arts, Entertainment & Recreation",1.4
2021,55-59,"Other Community, Social & Personal Services",3.6
2021,55-59,Others,1.9
