Age,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Employed Male Residents Aged 15 - 19 Years,17,15.9,18.1,20.8,23.3,22.3,22.2,22.9,18.5,17.5,18.4,20.4,22.9,17,18.8,20.4,16.4,12.5,14.1,14.1,13.2,18.9,15.3
Employed Male Residents Aged 20 - 24 Years,57.4,63.2,60.3,68.8,70.9,73.4,78.8,77.4,79.3,79,84.5,76.7,75.9,70.2,70.1,67.9,74.8,61.2,69.7,66.7,65.9,69.3,61.5
Employed Male Residents Aged 25 - 29 Years,95.5,114.6,110.8,113.5,110.5,107.4,110,101.8,101.8,96,98.4,102.7,106.9,102.5,98,98.3,99.6,101.2,97,97.4,98.5,104.8,108.8
Employed Male Residents Aged 30 - 34 Years,142.7,145.5,126.5,122.9,119.2,117.1,119.3,119.9,123.1,122.7,120.7,123.9,127.3,124.5,121.1,126.6,124.3,128.4,126.8,126.1,124.4,126.4,126.7
Employed Male Residents Aged 35 - 39 Years,139.7,141.6,132.5,131.3,134.5,136.6,131.5,133.9,132,134.7,137.8,140.3,145.6,135,141.7,138.1,137.8,137.1,132.1,141.8,149.7,150.5,145.7
Employed Male Residents Aged 40 - 44 Years,146.4,138.9,136.9,134.5,143.8,146.3,135.8,143.4,137.6,139.5,140.3,136.1,137.6,145.1,145.3,144.7,150.1,150.1,149.6,145.8,147.2,148.6,140.5
Employed Male Residents Aged 45 - 49 Years,152.6,135.2,145.6,145.3,139.5,142,135.1,137.3,136,145.7,146.7,149.7,149.4,146.2,150.1,146.5,151.1,136.3,139.2,134.5,127.3,125.6,116.5
Employed Male Residents Aged 50 - 54 Years,134,113.9,131.4,137.4,140.4,139.1,143,145.8,143,142.9,140.7,138.7,132,132.1,130.2,127.8,126,110,110.6,105.2,104,99.9,87.1
Employed Male Residents Aged 55 - 59 Years,135.2,120.3,128.3,128.9,128.2,120.5,126.7,126.5,124.3,118.4,117.3,109.4,107.1,96.3,94,93.1,88.4,71.3,69.7,63.1,54.5,42.1,43.2
Employed Male Residents Aged 60 - 64 Years,111.6,110.6,101.3,101.1,97.7,96.5,97,91.3,91.9,83,79.2,71.4,61.3,57.5,49.8,42.9,37.9,29,31.1,31.2,31,30.9,25.6
Employed Male Residents Aged 65 Years & Over,124,120.6,106.4,97.9,89.4,88.3,79,71.4,73.5,62.9,54.2,49.6,40.5,39.9,34.6,32.1,30,22.7,20.8,22.9,21.9,21.4,18.8
