Year,Age,Occupation,Employed
2022,15-19,Managers & Administrators (Including Working Proprietors),0.0
2022,15-19,Professionals,0.2
2022,15-19,Associate Professionals & Technicians,2.9
2022,15-19,Clerical Support Workers,3.4
2022,15-19,Service & Sales Workers,6.8
2022,15-19,Craftsmen & Related Trade Workers,0.5
2022,15-19,Plant & Machine Operators & Assemblers,1.1
2022,15-19,"Cleaners, Labourers & Related Workers",1.7
2022,15-19,Others,10.2
2022,20-24,Managers & Administrators (Including Working Proprietors),1.1
2022,20-24,Professionals,14.7
2022,20-24,Associate Professionals & Technicians,25.2
2022,20-24,Clerical Support Workers,13.2
2022,20-24,Service & Sales Workers,13.3
2022,20-24,Craftsmen & Related Trade Workers,1.9
2022,20-24,Plant & Machine Operators & Assemblers,2.8
2022,20-24,"Cleaners, Labourers & Related Workers",5.0
2022,20-24,Others,28.0
2022,25-29,Managers & Administrators (Including Working Proprietors),12.0
2022,25-29,Professionals,76.5
2022,25-29,Associate Professionals & Technicians,58.7
2022,25-29,Clerical Support Workers,15.4
2022,25-29,Service & Sales Workers,16.5
2022,25-29,Craftsmen & Related Trade Workers,1.9
2022,25-29,Plant & Machine Operators & Assemblers,4.5
2022,25-29,"Cleaners, Labourers & Related Workers",3.0
2022,25-29,Others,4.6
2022,30-34,Managers & Administrators (Including Working Proprietors),41.1
2022,30-34,Professionals,113.1
2022,30-34,Associate Professionals & Technicians,71.7
2022,30-34,Clerical Support Workers,18.9
2022,30-34,Service & Sales Workers,19.3
2022,30-34,Craftsmen & Related Trade Workers,1.6
2022,30-34,Plant & Machine Operators & Assemblers,4.9
2022,30-34,"Cleaners, Labourers & Related Workers",4.7
2022,30-34,Others,3.4
2022,35-39,Managers & Administrators (Including Working Proprietors),56.9
2022,35-39,Professionals,98.9
2022,35-39,Associate Professionals & Technicians,62.0
2022,35-39,Clerical Support Workers,19.3
2022,35-39,Service & Sales Workers,20.3
2022,35-39,Craftsmen & Related Trade Workers,2.8
2022,35-39,Plant & Machine Operators & Assemblers,6.7
2022,35-39,"Cleaners, Labourers & Related Workers",6.2
2022,35-39,Others,2.1
2022,40-44,Managers & Administrators (Including Working Proprietors),72.9
2022,40-44,Professionals,90.8
2022,40-44,Associate Professionals & Technicians,63.8
2022,40-44,Clerical Support Workers,20.7
2022,40-44,Service & Sales Workers,23.6
2022,40-44,Craftsmen & Related Trade Workers,4.5
2022,40-44,Plant & Machine Operators & Assemblers,8.3
2022,40-44,"Cleaners, Labourers & Related Workers",5.9
2022,40-44,Others,2.2
2022,45-49,Managers & Administrators (Including Working Proprietors),73.0
2022,45-49,Professionals,80.6
2022,45-49,Associate Professionals & Technicians,59.6
2022,45-49,Clerical Support Workers,26.3
2022,45-49,Service & Sales Workers,25.7
2022,45-49,Craftsmen & Related Trade Workers,5.3
2022,45-49,Plant & Machine Operators & Assemblers,13.5
2022,45-49,"Cleaners, Labourers & Related Workers",10.0
2022,45-49,Others,1.7
2022,50-54,Managers & Administrators (Including Working Proprietors),58.7
2022,50-54,Professionals,54.9
2022,50-54,Associate Professionals & Technicians,49.0
2022,50-54,Clerical Support Workers,23.0
2022,50-54,Service & Sales Workers,23.9
2022,50-54,Craftsmen & Related Trade Workers,5.9
2022,50-54,Plant & Machine Operators & Assemblers,16.9
2022,50-54,"Cleaners, Labourers & Related Workers",14.6
2022,50-54,Others,1.1
2022,55-59,Managers & Administrators (Including Working Proprietors),44.4
2022,55-59,Professionals,35.2
2022,55-59,Associate Professionals & Technicians,42.6
2022,55-59,Clerical Support Workers,26.5
2022,55-59,Service & Sales Workers,29.8
2022,55-59,Craftsmen & Related Trade Workers,8.8
2022,55-59,Plant & Machine Operators & Assemblers,23.1
2022,55-59,"Cleaners, Labourers & Related Workers",23.5
2022,55-59,Others,0.8
2022,60-64,Managers & Administrators (Including Working Proprietors),25.0
2022,60-64,Professionals,21.9
2022,60-64,Associate Professionals & Technicians,28.2
2022,60-64,Clerical Support Workers,23.8
2022,60-64,Service & Sales Workers,26.5
2022,60-64,Craftsmen & Related Trade Workers,10.4
2022,60-64,Plant & Machine Operators & Assemblers,26.4
2022,60-64,"Cleaners, Labourers & Related Workers",30.2
2022,60-64,Others,0.7
2022,65+,Managers & Administrators (Including Working Proprietors),22.7
2022,65+,Professionals,14.0
2022,65+,Associate Professionals & Technicians,22.0
2022,65+,Clerical Support Workers,21.3
2022,65+,Service & Sales Workers,35.6
2022,65+,Craftsmen & Related Trade Workers,9.5
2022,65+,Plant & Machine Operators & Assemblers,27.4
2022,65+,"Cleaners, Labourers & Related Workers",53.8
2022,65+,Others,1.1
2021,15-19,Managers & Administrators (Including Working Proprietors),0.0
2021,15-19,Professionals,0.2
2021,15-19,Associate Professionals & Technicians,2.2
2021,15-19,Clerical Support Workers,5.6
2021,15-19,Service & Sales Workers,6.6
2021,15-19,Craftsmen & Related Trade Workers,0.1
2021,15-19,Plant & Machine Operators & Assemblers,0.5
2021,15-19,"Cleaners, Labourers & Related Workers",2.9
2021,15-19,Others,8.9
2021,20-24,Managers & Administrators (Including Working Proprietors),1.1
2021,20-24,Professionals,19.0
2021,20-24,Associate Professionals & Technicians,24.5
2021,20-24,Clerical Support Workers,21.4
2021,20-24,Service & Sales Workers,16.5
2021,20-24,Craftsmen & Related Trade Workers,1.8
2021,20-24,Plant & Machine Operators & Assemblers,4.1
2021,20-24,"Cleaners, Labourers & Related Workers",5.2
2021,20-24,Others,30.4
2021,25-29,Managers & Administrators (Including Working Proprietors),12.3
2021,25-29,Professionals,88.9
2021,25-29,Associate Professionals & Technicians,71.9
2021,25-29,Clerical Support Workers,18.7
2021,25-29,Service & Sales Workers,20.0
2021,25-29,Craftsmen & Related Trade Workers,3.2
2021,25-29,Plant & Machine Operators & Assemblers,5.1
2021,25-29,"Cleaners, Labourers & Related Workers",4.2
2021,25-29,Others,4.9
2021,30-34,Managers & Administrators (Including Working Proprietors),38.9
2021,30-34,Professionals,116.7
2021,30-34,Associate Professionals & Technicians,75.7
2021,30-34,Clerical Support Workers,22.3
2021,30-34,Service & Sales Workers,22.0
2021,30-34,Craftsmen & Related Trade Workers,3.8
2021,30-34,Plant & Machine Operators & Assemblers,7.5
2021,30-34,"Cleaners, Labourers & Related Workers",4.2
2021,30-34,Others,2.8
2021,35-39,Managers & Administrators (Including Working Proprietors),55.1
2021,35-39,Professionals,96.9
2021,35-39,Associate Professionals & Technicians,61.9
2021,35-39,Clerical Support Workers,21.0
2021,35-39,Service & Sales Workers,20.8
2021,35-39,Craftsmen & Related Trade Workers,3.7
2021,35-39,Plant & Machine Operators & Assemblers,7.8
2021,35-39,"Cleaners, Labourers & Related Workers",4.7
2021,35-39,Others,2.2
2021,40-44,Managers & Administrators (Including Working Proprietors),66.0
2021,40-44,Professionals,87.1
2021,40-44,Associate Professionals & Technicians,56.5
2021,40-44,Clerical Support Workers,18.7
2021,40-44,Service & Sales Workers,19.4
2021,40-44,Craftsmen & Related Trade Workers,3.4
2021,40-44,Plant & Machine Operators & Assemblers,8.9
2021,40-44,"Cleaners, Labourers & Related Workers",5.9
2021,40-44,Others,2.6
2021,45-49,Managers & Administrators (Including Working Proprietors),64.7
2021,45-49,Professionals,64.3
2021,45-49,Associate Professionals & Technicians,48.4
2021,45-49,Clerical Support Workers,24.5
2021,45-49,Service & Sales Workers,20.2
2021,45-49,Craftsmen & Related Trade Workers,6.0
2021,45-49,Plant & Machine Operators & Assemblers,13.7
2021,45-49,"Cleaners, Labourers & Related Workers",9.6
2021,45-49,Others,0.9
2021,50-54,Managers & Administrators (Including Working Proprietors),49.3
2021,50-54,Professionals,42.2
2021,50-54,Associate Professionals & Technicians,39.8
2021,50-54,Clerical Support Workers,21.4
2021,50-54,Service & Sales Workers,23.5
2021,50-54,Craftsmen & Related Trade Workers,6.5
2021,50-54,Plant & Machine Operators & Assemblers,16.1
2021,50-54,"Cleaners, Labourers & Related Workers",13.8
2021,50-54,Others,0.4
2021,55-59,Managers & Administrators (Including Working Proprietors),36.6
2021,55-59,Professionals,29.6
2021,55-59,Associate Professionals & Technicians,35.5
2021,55-59,Clerical Support Workers,26.5
2021,55-59,Service & Sales Workers,28.6
2021,55-59,Craftsmen & Related Trade Workers,9.5
2021,55-59,Plant & Machine Operators & Assemblers,25.1
2021,55-59,"Cleaners, Labourers & Related Workers",21.5
2021,55-59,Others,0.9
2021,60-64,Managers & Administrators (Including Working Proprietors),28.8
2021,60-64,Professionals,19.0
2021,60-64,Associate Professionals & Technicians,28.6
2021,60-64,Clerical Support Workers,23.7
2021,60-64,Service & Sales Workers,27.6
2021,60-64,Craftsmen & Related Trade Workers,9.8
2021,60-64,Plant & Machine Operators & Assemblers,25.5
2021,60-64,"Cleaners, Labourers & Related Workers",28.0
2021,60-64,Others,1.1
2021,65+,Managers & Administrators (Including Working Proprietors),24.8
2021,65+,Professionals,13.7
2021,65+,Associate Professionals & Technicians,20.7
2021,65+,Clerical Support Workers,19.7
2021,65+,Service & Sales Workers,34.0
2021,65+,Craftsmen & Related Trade Workers,10.1
2021,65+,Plant & Machine Operators & Assemblers,22.7
2021,65+,"Cleaners, Labourers & Related Workers",51.4
2021,65+,Others,1.4
2020,15-19,Managers & Administrators (Including Working Proprietors),0.0
2020,15-19,Professionals,0.1
2020,15-19,Associate Professionals & Technicians,1.7
2020,15-19,Clerical Support Workers,3.5
2020,15-19,Service & Sales Workers,6.1
2020,15-19,Craftsmen & Related Trade Workers,0.4
2020,15-19,Plant & Machine Operators & Assemblers,0.8
2020,15-19,"Cleaners, Labourers & Related Workers",1.8
2020,15-19,Others,12.0
2020,20-24,Managers & Administrators (Including Working Proprietors),0.5
2020,20-24,Professionals,11.1
2020,20-24,Associate Professionals & Technicians,25.8
2020,20-24,Clerical Support Workers,19.3
2020,20-24,Service & Sales Workers,17.2
2020,20-24,Craftsmen & Related Trade Workers,2.3
2020,20-24,Plant & Machine Operators & Assemblers,3.7
2020,20-24,"Cleaners, Labourers & Related Workers",4.1
2020,20-24,Others,31.8
2020,25-29,Managers & Administrators (Including Working Proprietors),9.5
2020,25-29,Professionals,76.4
2020,25-29,Associate Professionals & Technicians,81.1
2020,25-29,Clerical Support Workers,21.9
2020,25-29,Service & Sales Workers,22.6
2020,25-29,Craftsmen & Related Trade Workers,3.9
2020,25-29,Plant & Machine Operators & Assemblers,6.7
2020,25-29,"Cleaners, Labourers & Related Workers",3.4
2020,25-29,Others,5.1
2020,30-34,Managers & Administrators (Including Working Proprietors),32.9
2020,30-34,Professionals,97.1
2020,30-34,Associate Professionals & Technicians,68.4
2020,30-34,Clerical Support Workers,18.2
2020,30-34,Service & Sales Workers,20.0
2020,30-34,Craftsmen & Related Trade Workers,2.1
2020,30-34,Plant & Machine Operators & Assemblers,7.1
2020,30-34,"Cleaners, Labourers & Related Workers",4.0
2020,30-34,Others,2.3
2020,35-39,Managers & Administrators (Including Working Proprietors),59.0
2020,35-39,Professionals,82.5
2020,35-39,Associate Professionals & Technicians,60.1
2020,35-39,Clerical Support Workers,18.0
2020,35-39,Service & Sales Workers,22.7
2020,35-39,Craftsmen & Related Trade Workers,3.4
2020,35-39,Plant & Machine Operators & Assemblers,9.2
2020,35-39,"Cleaners, Labourers & Related Workers",4.3
2020,35-39,Others,2.5
2020,40-44,Managers & Administrators (Including Working Proprietors),66.7
2020,40-44,Professionals,75.8
2020,40-44,Associate Professionals & Technicians,53.5
2020,40-44,Clerical Support Workers,21.0
2020,40-44,Service & Sales Workers,19.7
2020,40-44,Craftsmen & Related Trade Workers,4.6
2020,40-44,Plant & Machine Operators & Assemblers,10.4
2020,40-44,"Cleaners, Labourers & Related Workers",6.3
2020,40-44,Others,1.3
2020,45-49,Managers & Administrators (Including Working Proprietors),69.9
2020,45-49,Professionals,63.4
2020,45-49,Associate Professionals & Technicians,50.4
2020,45-49,Clerical Support Workers,22.6
2020,45-49,Service & Sales Workers,24.6
2020,45-49,Craftsmen & Related Trade Workers,6.7
2020,45-49,Plant & Machine Operators & Assemblers,17.4
2020,45-49,"Cleaners, Labourers & Related Workers",10.0
2020,45-49,Others,1.3
2020,50-54,Managers & Administrators (Including Working Proprietors),51.3
2020,50-54,Professionals,42.2
2020,50-54,Associate Professionals & Technicians,43.2
2020,50-54,Clerical Support Workers,24.7
2020,50-54,Service & Sales Workers,27.8
2020,50-54,Craftsmen & Related Trade Workers,8.5
2020,50-54,Plant & Machine Operators & Assemblers,22.0
2020,50-54,"Cleaners, Labourers & Related Workers",16.4
2020,50-54,Others,1.0
2020,55-59,Managers & Administrators (Including Working Proprietors),38.3
2020,55-59,Professionals,28.8
2020,55-59,Associate Professionals & Technicians,34.1
2020,55-59,Clerical Support Workers,27.2
2020,55-59,Service & Sales Workers,31.4
2020,55-59,Craftsmen & Related Trade Workers,11.4
2020,55-59,Plant & Machine Operators & Assemblers,26.8
2020,55-59,"Cleaners, Labourers & Related Workers",25.4
2020,55-59,Others,1.2
2020,60-64,Managers & Administrators (Including Working Proprietors),21.5
2020,60-64,Professionals,15.7
2020,60-64,Associate Professionals & Technicians,23.9
2020,60-64,Clerical Support Workers,22.6
2020,60-64,Service & Sales Workers,28.5
2020,60-64,Craftsmen & Related Trade Workers,9.6
2020,60-64,Plant & Machine Operators & Assemblers,25.7
2020,60-64,"Cleaners, Labourers & Related Workers",25.4
2020,60-64,Others,0.8
2020,65+,Managers & Administrators (Including Working Proprietors),18.7
2020,65+,Professionals,11.1
