Year,Age of Employed Residents,Employed
2022,15 - 19,27
2022,20 - 24,105
2022,25 - 29,193
2022,30 - 34,279
2022,35 - 39,275
2022,40 - 44,293
2022,45 - 49,296
2022,50 - 54,248
2022,55 - 59,235
2022,60 - 64,193
2022,65+,207
2021,15 - 19,27
2021,20 - 24,124
2021,25 - 29,229
2021,30 - 34,294
2021,35 - 39,274
2021,40 - 44,269
2021,45 - 49,252
2021,50 - 54,213
2021,55 - 59,214
2021,60 - 64,192
2021,65+,199
2020,15 - 19,26
2020,20 - 24,116
2020,25 - 29,231
2020,30 - 34,252
2020,35 - 39,262
2020,40 - 44,259
2020,45 - 49,266
2020,50 - 54,237
2020,55 - 59,225
2020,60 - 64,174
2020,65+,175
2019,15 - 19,33
2019,20 - 24,131
2019,25 - 29,225
2019,30 - 34,246
2019,35 - 39,260
2019,40 - 44,262
2019,45 - 49,274
2019,50 - 54,247
2019,55 - 59,228
2019,60 - 64,166
2019,65+,160
2018,15 - 19,35
2018,20 - 24,136
2018,25 - 29,224
2018,30 - 34,234
2018,35 - 39,263
2018,40 - 44,271
2018,45 - 49,262
2018,50 - 54,251
2018,55 - 59,217
2018,60 - 64,166
2018,65+,145
2017,15 - 19,33
2017,20 - 24,135
2017,25 - 29,217
2017,30 - 34,236
2017,35 - 39,266
2017,40 - 44,272
2017,45 - 49,264
2017,50 - 54,244
2017,55 - 59,205
2017,60 - 64,161
2017,65+,142
2016,15 - 19,35
2016,20 - 24,147
2016,25 - 29,227
2016,30 - 34,237
2016,35 - 39,250
2016,40 - 44,260
2016,45 - 49,251
2016,50 - 54,254
2016,55 - 59,219
2016,60 - 64,159
2016,65+,127
2015,15 - 19,37
2015,20 - 24,150
2015,25 - 29,208
2015,30 - 34,236
2015,35 - 39,261
2015,40 - 44,268
2015,45 - 49,251
2015,50 - 54,255
2015,55 - 59,216
2015,60 - 64,149
2015,65+,115
2014,15 - 19,29
2014,20 - 24,147
2014,25 - 29,205
2014,30 - 34,242
2014,35 - 39,249
2014,40 - 44,257
2014,45 - 49,246
2014,50 - 54,255
2014,55 - 59,214
2014,60 - 64,146
2014,65+,115
2013,15 - 19,29
2013,20 - 24,142
2013,25 - 29,198
2013,30 - 34,241
2013,35 - 39,254
2013,40 - 44,259
2013,45 - 49,258
2013,50 - 54,248
2013,55 - 59,199
2013,60 - 64,132
2013,65+,96
2012,15 - 19,31
2012,20 - 24,156
2012,25 - 29,198
2012,30 - 34,238
2012,35 - 39,259
2012,40 - 44,258
2012,45 - 49,262
2012,50 - 54,241
2012,55 - 59,191
2012,60 - 64,123
2012,65+,83
2011,15 - 19,31
2011,20 - 24,147
2011,25 - 29,205
2011,30 - 34,241
2011,35 - 39,260
2011,40 - 44,249
2011,45 - 49,261
2011,50 - 54,238
2011,55 - 59,182
2011,60 - 64,110
2011,65+,74
2010,15 - 19,37
2010,20 - 24,142
2010,25 - 29,211
2010,30 - 34,246
2010,35 - 39,267
2010,40 - 44,246
2010,45 - 49,259
2010,50 - 54,227
2010,55 - 59,173
2010,60 - 64,96
2010,65+,60
2009,15 - 19,28
2009,20 - 24,128
2009,25 - 29,204
2009,30 - 34,237
2009,35 - 39,256
2009,40 - 44,251
2009,45 - 49,249
2009,50 - 54,222
2009,55 - 59,151
2009,60 - 64,87
2009,65+,57
2008,15 - 19,32
2008,20 - 24,133
2008,25 - 29,198
2008,30 - 34,235
2008,35 - 39,257
2008,40 - 44,254
2008,45 - 49,254
2008,50 - 54,218
2008,55 - 59,147
2008,60 - 64,76
2008,65+,50
2007,15 - 19,33
2007,20 - 24,128
2007,25 - 29,200
2007,30 - 34,238
2007,35 - 39,242
2007,40 - 44,249
2007,45 - 49,250
2007,50 - 54,210
2007,55 - 59,144
2007,60 - 64,64
2007,65+,46
2005,15 - 19,20
2005,20 - 24,118
2005,25 - 29,202
2005,30 - 34,240
2005,35 - 39,239
2005,40 - 44,247
2005,45 - 49,224
2005,50 - 54,175
2005,55 - 59,109
2005,60 - 64,41
2005,65+,31
2004,15 - 19,25
2004,20 - 24,127
2004,25 - 29,194
2004,30 - 34,232
2004,35 - 39,229
2004,40 - 44,247
2004,45 - 49,227
2004,50 - 54,173
2004,55 - 59,106
2004,60 - 64,43
2004,65+,29
2003,15 - 19,23
2003,20 - 24,122
2003,25 - 29,198
2003,30 - 34,233
2003,35 - 39,239
2003,40 - 44,239
2003,45 - 49,216
2003,50 - 54,168
2003,55 - 59,93
2003,60 - 64,44
2003,65+,31
2002,15 - 19,22
2002,20 - 24,118
2002,25 - 29,198
2002,30 - 34,228
2002,35 - 39,245
2002,40 - 44,239
2002,45 - 49,207
2002,50 - 54,161
2002,55 - 59,83
2002,60 - 64,43
2002,65+,28
2001,15 - 19,31
2001,20 - 24,130
2001,25 - 29,210
2001,30 - 34,228
2001,35 - 39,248
2001,40 - 44,242
2001,45 - 49,203
2001,50 - 54,155
2001,55 - 59,65
2001,60 - 64,42
2001,65+,28
2000,15 - 19,26
2000,20 - 24,122
2000,25 - 29,212
2000,30 - 34,223
2000,35 - 39,235
2000,40 - 44,226
2000,45 - 49,186
2000,50 - 54,133
2000,55 - 59,62
2000,60 - 64,34
2000,65+,24
