Industry,Age,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Managers & Administrators (Including Working Proprietors),15-19,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Professionals,15-19,0.1,0.1,0.,0.1,0.,0.1,0.2,0.1,0.,0.1,0.1,0.1,0.2,0.,0.2,0.2,0.,0.1,0.,0.,0.2,0.
Associate Professionals & Technicians,15-19,1,0.8,0.6,0.4,0.7,0.5,0.8,0.8,0.4,0.2,0.7,0.2,0.4,0.4,0.3,0.4,0.,0.3,0.1,0.2,0.4,0.1
Clerical Support Workers,15-19,1.2,1.6,1.2,2,2.2,1.6,1,1.7,0.9,1.3,1,1.4,0.7,0.7,0.9,0.9,0.3,0.7,0.6,0.5,0.6,0.3
Service & Sales Workers,15-19,2.2,2.5,2.4,2.9,3.6,3.1,3,3.1,3.5,3.2,3.1,3.4,3.9,2.7,3.6,3.4,1.8,2.4,2.4,2.5,3.2,3
Craftsmen & Related Trade Workers,15-19,0.4,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.2,0.3,0.1,0.,0.2,0.3,0.,0.1,0.2,0.3,0.4,0.5,0.3
Plant & Machine Operators & Assemblers,15-19,0.8,0.4,0.7,0.6,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.3,0.4,0.2,0.2,0.3,0.2,0.2,0.2
"Cleaners, Labourers & Related Workers",15-19,1.1,1.6,1,0.7,0.9,1.2,0.9,1.2,1.1,1,1.1,1.4,1.2,0.9,1.3,1.1,0.5,1,1,0.9,1.3,0.6
Others,15-19,10.2,8.9,12,13.9,15.2,15.6,15.9,15.6,12.2,11.3,11.9,13.6,16,11.8,12,14.1,9.5,9.3,9.5,8.5,12.5,10.6
Managers & Administrators (Including Working Proprietors),20-24,0.4,0.4,0.1,0.3,0.2,0.3,0.4,0.7,0.6,0.6,0.6,0.6,1.2,0.8,0.9,0.9,0.6,0.7,0.4,0.5,0.9,1.2
Professionals,20-24,3.4,3.8,2,2.8,2.4,2.5,1.9,2.6,2.1,2.3,3.6,3.4,5.2,3.6,4.8,4.1,2.8,2.2,2.6,2.8,4.1,3.3
