Year,Age,Occupation,Employed
2022,15-19,Managers & Administrators (Including Working Proprietors),0.0
2022,15-19,Professionals,0.1
2022,15-19,Associate Professionals & Technicians,1.0
2022,15-19,Clerical Support Workers,1.2
2022,15-19,Service & Sales Workers,2.2
2022,15-19,Craftsmen & Related Trade Workers,0.4
2022,15-19,Plant & Machine Operators & Assemblers,0.8
2022,15-19,"Cleaners, Labourers & Related Workers",1.1
2022,15-19,Others,10.2
2022,20-24,Managers & Administrators (Including Working Proprietors),0.4
2022,20-24,Professionals,3.4
2022,20-24,Associate Professionals & Technicians,8.0
2022,20-24,Clerical Support Workers,4.9
2022,20-24,Service & Sales Workers,5.7
2022,20-24,Craftsmen & Related Trade Workers,1.3
2022,20-24,Plant & Machine Operators & Assemblers,2.7
2022,20-24,"Cleaners, Labourers & Related Workers",3.5
2022,20-24,Others,27.6
2022,25-29,Managers & Administrators (Including Working Proprietors),5.6
2022,25-29,Professionals,34.9
2022,25-29,Associate Professionals & Technicians,30.0
2022,25-29,Clerical Support Workers,5.2
2022,25-29,Service & Sales Workers,7.9
2022,25-29,Craftsmen & Related Trade Workers,1.6
2022,25-29,Plant & Machine Operators & Assemblers,4.0
2022,25-29,"Cleaners, Labourers & Related Workers",2.0
2022,25-29,Others,4.2
2022,30-34,Managers & Administrators (Including Working Proprietors),21.4
2022,30-34,Professionals,58.3
2022,30-34,Associate Professionals & Technicians,35.9
2022,30-34,Clerical Support Workers,5.2
2022,30-34,Service & Sales Workers,9.3
2022,30-34,Craftsmen & Related Trade Workers,1.4
2022,30-34,Plant & Machine Operators & Assemblers,4.1
2022,30-34,"Cleaners, Labourers & Related Workers",3.9
2022,30-34,Others,3.2
2022,35-39,Managers & Administrators (Including Working Proprietors),30.4
2022,35-39,Professionals,51.1
2022,35-39,Associate Professionals & Technicians,31.6
2022,35-39,Clerical Support Workers,4.1
2022,35-39,Service & Sales Workers,8.6
2022,35-39,Craftsmen & Related Trade Workers,2.3
2022,35-39,Plant & Machine Operators & Assemblers,6.3
2022,35-39,"Cleaners, Labourers & Related Workers",3.4
2022,35-39,Others,2.0
2022,40-44,Managers & Administrators (Including Working Proprietors),38.7
2022,40-44,Professionals,48.2
2022,40-44,Associate Professionals & Technicians,29.9
2022,40-44,Clerical Support Workers,4.0
2022,40-44,Service & Sales Workers,9.6
2022,40-44,Craftsmen & Related Trade Workers,3.7
2022,40-44,Plant & Machine Operators & Assemblers,7.6
2022,40-44,"Cleaners, Labourers & Related Workers",2.6
2022,40-44,Others,2.0
2022,45-49,Managers & Administrators (Including Working Proprietors),45.3
2022,45-49,Professionals,44.2
2022,45-49,Associate Professionals & Technicians,28.2
2022,45-49,Clerical Support Workers,4.3
2022,45-49,Service & Sales Workers,8.9
2022,45-49,Craftsmen & Related Trade Workers,4.7
2022,45-49,Plant & Machine Operators & Assemblers,11.6
2022,45-49,"Cleaners, Labourers & Related Workers",4.1
2022,45-49,Others,1.3
2022,50-54,Managers & Administrators (Including Working Proprietors),38.1
2022,50-54,Professionals,31.7
2022,50-54,Associate Professionals & Technicians,24.8
2022,50-54,Clerical Support Workers,3.4
2022,50-54,Service & Sales Workers,10.2
2022,50-54,Craftsmen & Related Trade Workers,4.7
2022,50-54,Plant & Machine Operators & Assemblers,14.7
2022,50-54,"Cleaners, Labourers & Related Workers",5.3
2022,50-54,Others,1.0
2022,55-59,Managers & Administrators (Including Working Proprietors),29.3
2022,55-59,Professionals,21.5
2022,55-59,Associate Professionals & Technicians,24.7
2022,55-59,Clerical Support Workers,5.2
2022,55-59,Service & Sales Workers,13.8
2022,55-59,Craftsmen & Related Trade Workers,7.6
2022,55-59,Plant & Machine Operators & Assemblers,21.3
2022,55-59,"Cleaners, Labourers & Related Workers",11.2
2022,55-59,Others,0.6
2022,60-64,Managers & Administrators (Including Working Proprietors),17.3
2022,60-64,Professionals,14.7
2022,60-64,Associate Professionals & Technicians,16.3
2022,60-64,Clerical Support Workers,5.5
2022,60-64,Service & Sales Workers,12.3
2022,60-64,Craftsmen & Related Trade Workers,8.9
2022,60-64,Plant & Machine Operators & Assemblers,23.8
2022,60-64,"Cleaners, Labourers & Related Workers",12.3
2022,60-64,Others,0.7
2022,65+,Managers & Administrators (Including Working Proprietors),16.9
2022,65+,Professionals,9.2
2022,65+,Associate Professionals & Technicians,14.3
2022,65+,Clerical Support Workers,6.7
2022,65+,Service & Sales Workers,19.2
2022,65+,Craftsmen & Related Trade Workers,7.7
2022,65+,Plant & Machine Operators & Assemblers,25.4
2022,65+,"Cleaners, Labourers & Related Workers",23.8
2022,65+,Others,0.8
2021,15-19,Managers & Administrators (Including Working Proprietors),0.0
2021,15-19,Professionals,0.1
2021,15-19,Associate Professionals & Technicians,0.8
2021,15-19,Clerical Support Workers,1.6
2021,15-19,Service & Sales Workers,2.5
2021,15-19,Craftsmen & Related Trade Workers,0.1
2021,15-19,Plant & Machine Operators & Assemblers,0.4
2021,15-19,"Cleaners, Labourers & Related Workers",1.6
2021,15-19,Others,8.9
2021,20-24,Managers & Administrators (Including Working Proprietors),0.4
2021,20-24,Professionals,3.8
2021,20-24,Associate Professionals & Technicians,7.3
2021,20-24,Clerical Support Workers,7.1
2021,20-24,Service & Sales Workers,6.6
2021,20-24,Craftsmen & Related Trade Workers,1.2
2021,20-24,Plant & Machine Operators & Assemblers,3.6
2021,20-24,"Cleaners, Labourers & Related Workers",3.0
2021,20-24,Others,30.3
2021,25-29,Managers & Administrators (Including Working Proprietors),6.3
2021,25-29,Professionals,42.5
2021,25-29,Associate Professionals & Technicians,34.1
2021,25-29,Clerical Support Workers,6.6
2021,25-29,Service & Sales Workers,10.0
2021,25-29,Craftsmen & Related Trade Workers,2.6
2021,25-29,Plant & Machine Operators & Assemblers,4.9
2021,25-29,"Cleaners, Labourers & Related Workers",2.9
2021,25-29,Others,4.6
2021,30-34,Managers & Administrators (Including Working Proprietors),20.8
2021,30-34,Professionals,55.8
2021,30-34,Associate Professionals & Technicians,38.2
2021,30-34,Clerical Support Workers,4.2
2021,30-34,Service & Sales Workers,12.0
2021,30-34,Craftsmen & Related Trade Workers,3.2
2021,30-34,Plant & Machine Operators & Assemblers,6.3
2021,30-34,"Cleaners, Labourers & Related Workers",2.5
2021,30-34,Others,2.6
2021,35-39,Managers & Administrators (Including Working Proprietors),31.3
2021,35-39,Professionals,50.7
2021,35-39,Associate Professionals & Technicians,30.6
