Year,Age of Employed Female Resident,Employed
2022,15 - 19,9.8
2022,20 - 24,47.8
2022,25 - 29,97.5
2022,30 - 34,136.0
2022,35 - 39,135.5
2022,40 - 44,146.3
2022,45 - 49,143.0
2022,50 - 54,113.9
2022,55 - 59,99.5
2022,60 - 64,81.6
2022,65+,83.3
2021,15 - 19,11.0
2021,20 - 24,60.8
2021,25 - 29,114.6
2021,30 - 34,148.3
2021,35 - 39,132.5
2021,40 - 44,129.8
2021,45 - 49,117.1
2021,50 - 54,99.0
2021,55 - 59,93.6
2021,60 - 64,81.4
2021,65+,78.0
2020,15 - 19,8.2
2020,20 - 24,55.5
2020,25 - 29,119.8
2020,30 - 34,125.8
2020,35 - 39,129.2
2020,40 - 44,122.3
2020,45 - 49,120.7
2020,50 - 54,105.7
2020,55 - 59,96.2
2020,60 - 64,72.4
2020,65+,68.8
2019,15 - 19,11.8
2019,20 - 24,62.5
2019,25 - 29,111.1
2019,30 - 34,123.0
2019,35 - 39,128.5
2019,40 - 44,127.4
2019,45 - 49,128.6
2019,50 - 54,109.6
2019,55 - 59,98.9
2019,60 - 64,64.8
2019,65+,61.7
2018,15 - 19,12.1
2018,20 - 24,65.0
2018,25 - 29,113.0
2018,30 - 34,114.8
2018,35 - 39,128.6
2018,40 - 44,127.3
2018,45 - 49,122.2
2018,50 - 54,110.7
2018,55 - 59,89.1
2018,60 - 64,68.2
2018,65+,55.5
2017,15 - 19,10.3
2017,20 - 24,61.7
2017,25 - 29,109.9
2017,30 - 34,119.2
2017,35 - 39,129.3
2017,40 - 44,125.2
2017,45 - 49,122.2
2017,50 - 54,105.1
2017,55 - 59,85.0
2017,60 - 64,64.8
2017,65+,53.2
2016,15 - 19,12.8
2016,20 - 24,68.4
2016,25 - 29,116.5
2016,30 - 34,117.7
2016,35 - 39,118.8
2016,40 - 44,124.4
2016,45 - 49,115.9
2016,50 - 54,110.9
2016,55 - 59,92.0
2016,60 - 64,61.8
2016,65+,47.8
2015,15 - 19,14.0
2015,20 - 24,72.7
2015,25 - 29,106.1
2015,30 - 34,116.3
2015,35 - 39,127.1
2015,40 - 44,124.9
2015,45 - 49,113.6
2015,50 - 54,109.6
2015,55 - 59,89.9
2015,60 - 64,57.9
2015,65+,43.9
2014,15 - 19,10.1
2014,20 - 24,67.4
2014,25 - 29,103.1
2014,30 - 34,119.0
2014,35 - 39,116.7
2014,40 - 44,119.6
2014,45 - 49,109.9
2014,50 - 54,111.6
2014,55 - 59,89.6
2014,60 - 64,54.2
2014,65+,41.2
2013,15 - 19,11.4
2013,20 - 24,62.9
2013,25 - 29,102.2
2013,30 - 34,118.3
2013,35 - 39,119.0
2013,40 - 44,118.9
2013,45 - 49,112.6
2013,50 - 54,105.1
2013,55 - 59,80.8
2013,60 - 64,49.3
2013,65+,33.2
2012,15 - 19,12.5
2012,20 - 24,71.6
2012,25 - 29,99.3
2012,30 - 34,117.6
2012,35 - 39,121.2
2012,40 - 44,118.1
2012,45 - 49,114.8
2012,50 - 54,100.5
2012,55 - 59,74.0
2012,60 - 64,44.1
2012,65+,28.8
2011,15 - 19,10.6
2011,20 - 24,70.5
2011,25 - 29,101.9
2011,30 - 34,117.4
2011,35 - 39,120.0
2011,40 - 44,113.3
2011,45 - 49,111.2
2011,50 - 54,99.7
2011,55 - 59,72.2
2011,60 - 64,38.9
2011,65+,24.3
2010,15 - 19,14.0
2010,20 - 24,66.2
2010,25 - 29,103.8
2010,30 - 34,118.4
2010,35 - 39,121.5
2010,40 - 44,108.4
2010,45 - 49,109.3
2010,50 - 54,95.5
2010,55 - 59,65.7
2010,60 - 64,34.2
2010,65+,19.2
2009,15 - 19,10.5
2009,20 - 24,57.3
2009,25 - 29,101.6
2009,30 - 34,112.8
2009,35 - 39,120.7
2009,40 - 44,106.1
2009,45 - 49,103.1
2009,50 - 54,89.8
2009,55 - 59,54.4
2009,60 - 64,29.6
2009,65+,17.2
2008,15 - 19,12.6
2008,20 - 24,63.0
2008,25 - 29,100.0
2008,30 - 34,114.2
2008,35 - 39,115.1
2008,40 - 44,108.3
2008,45 - 49,103.6
2008,50 - 54,87.5
2008,55 - 59,52.5
2008,60 - 64,25.8
2008,65+,15.7
2007,15 - 19,12.9
2007,20 - 24,60.2
2007,25 - 29,101.6
2007,30 - 34,111.2
2007,35 - 39,103.6
2007,40 - 44,104.7
2007,45 - 49,103.1
2007,50 - 54,82.0
2007,55 - 59,50.4
2007,60 - 64,21.0
2007,65+,14.1
2005,15 - 19,7.8
2005,20 - 24,57.0
2005,25 - 29,101.1
2005,30 - 34,111.1
2005,35 - 39,102.4
