Year,Qualification,Numbers
2022,Below Primary,9633
2022,Primary,19853
2022,Lower Secondary,19879
2022,Secondary,47509
2022,Post-Secondary,20474
2022,Professional Qualification And Other Diploma,9349
2022,Polytechnic Diploma,28101
2022,Degree And Above,34020
2022,Modular Certification,3572
2022,Others / Not Reported,96256
2021,Below Primary,8245
2021,Primary,18354
2021,Lower Secondary,22018
2021,Secondary,56733
2021,Post-Secondary,22509
2021,Professional Qualification And Other Diploma,10815
2021,Polytechnic Diploma,32908
2021,Degree And Above,41936
2021,Modular Certification,5861
2021,Others / Not Reported,91385
2020,Below Primary,9066
2020,Primary,12215
2020,Lower Secondary,22193
2020,Secondary,52677
2020,Post-Secondary,26533
2020,Professional Qualification And Other Diploma,15021
2020,Polytechnic Diploma,36780
2020,Degree And Above,47513
2020,Modular Certification,12340
2020,Others / Not Reported,28567
2019,Below Primary,15730
2019,Primary,18092
2019,Lower Secondary,32246
2019,Secondary,64197
2019,Post-Secondary,27840
2019,Professional Qualification And Other Diploma,19004
2019,Polytechnic Diploma,36999
2019,Degree And Above,60014
2019,Modular Certification,15348
2019,Others / Not Reported,33373
2018,Below Primary,21309
2018,Primary,24872
2018,Lower Secondary,36776
2018,Secondary,70332
2018,Post-Secondary,29183
2018,Professional Qualification And Other Diploma,14963
2018,Polytechnic Diploma,42125
2018,Degree And Above,59478
2018,Modular Certification,1241
2018,Others / Not Reported,27717
2017,Below Primary,16993
2017,Primary,24546
2017,Lower Secondary,34274
2017,Secondary,67141
2017,Post-Secondary,32080
2017,Professional Qualification And Other Diploma,15057
2017,Polytechnic Diploma,41764
2017,Degree And Above,57893
2017,Modular Certification,0
2017,Others / Not Reported,20743
2016,Below Primary,16454
2016,Primary,25732
2016,Lower Secondary,31491
2016,Secondary,64041
2016,Post-Secondary,27755
2016,Professional Qualification And Other Diploma,14634
2016,Polytechnic Diploma,32133
2016,Degree And Above,56295
2016,Modular Certification,0
2016,Others / Not Reported,21164
2015,Below Primary,16136
2015,Primary,25031
2015,Lower Secondary,27975
2015,Secondary,60786
2015,Post-Secondary,25276
2015,Professional Qualification And Other Diploma,11839
2015,Polytechnic Diploma,31610
2015,Degree And Above,48395
2015,Modular Certification,0
2015,Others / Not Reported,20607
2014,Below Primary,12074
2014,Primary,33538
2014,Lower Secondary,30313
2014,Secondary,64020
2014,Post-Secondary,21856
2014,Professional Qualification And Other Diploma,14030
2014,Polytechnic Diploma,26612
2014,Degree And Above,45011
2014,Modular Certification,0
2014,Others / Not Reported,19969
2013,Below Primary,8863
2013,Primary,26391
2013,Lower Secondary,26606
2013,Secondary,60134
2013,Post-Secondary,20601
2013,Professional Qualification And Other Diploma,10744
2013,Polytechnic Diploma,24144
2013,Degree And Above,34032
2013,Modular Certification,0
2013,Others / Not Reported,19494
2012,Below Primary,5531
2012,Primary,28516
2012,Lower Secondary,22120
2012,Secondary,55977
2012,Post-Secondary,17318
2012,Professional Qualification And Other Diploma,9620
2012,Polytechnic Diploma,19790
2012,Degree And Above,27144
2012,Modular Certification,0
2012,Others / Not Reported,12306
2011,Below Primary,5695
2011,Primary,28343
2011,Lower Secondary,27824
2011,Secondary,54012
2011,Post-Secondary,12663
2011,Professional Qualification And Other Diploma,8624
2011,Polytechnic Diploma,17224
2011,Degree And Above,23926
2011,Modular Certification,0
2011,Others / Not Reported,13938
