Year,Industry,Employed
2022,"Food, Beverages & Tobacco",1.9
2022,Paper/Rubber/Plastic Products & Printing,1.6
2022,"Petroleum, Chemical & Pharmaceutical Products",0.9
2022,"Fabricated Metal Products, Machinery & Equipment",1.2
2022,"Electronic, Computer & Optical Products",1.3
2022,Transport Equipment,1.1
2022,Other Manufacturing Industries,1.2
2022,Construction,1.4
2022,Wholesale Trade,1.2
2022,Retail Trade,1.8
2022,Land Transport & Supporting Services,1.3
2022,Water Transport & Supporting Services,1.0
2022,Air Transport & Supporting Services,1.0
2022,Other Transportation & Storage Services,1.7
2022,Accommodation,2.5
2022,Food & Beverage Services,2.7
2022,"Telecommunications, Broadcasting & Publishing",1.2
2022,IT & Other Information Services,1.6
2022,Financial Services,1.1
2022,Insurance Services,1.5
2022,Real Estate Services,1.8
2022,"Legal, Accounting & Management Services",1.2
2022,Architectural & Engineering Services,1.3
2022,Other Professional Services,1.3
2022,Security & Investigation,3.2
2022,Cleaning & Landscaping,3.3
2022,Other Administrative & Support Services,2.2
2022,Public Administration & Education,0.7
2022,Health & Social Services,1.3
2022,"Arts, Entertainment & Recreation",1.8
2022,"Other Community, Social & Personal Services",1.9
2022,Others,0.8
2022,"Professionals, Managers, Executives & Technicians",1.1
2022,"Clerical, Sales & Service Workers",2.3
2022,"Production & Transport Operators, Cleaners & Labourers",1.7
2021,"Food, Beverages & Tobacco",2.1
2021,Paper/Rubber/Plastic Products & Printing,1.6
2021,"Petroleum, Chemical & Pharmaceutical Products",0.8
2021,"Fabricated Metal Products, Machinery & Equipment",1.2
2021,"Electronic, Computer & Optical Products",1.3
2021,Transport Equipment,0.9
2021,Other Manufacturing Industries,1.4
2021,Construction,1.3
2021,Wholesale Trade,1.0
2021,Retail Trade,2.6
2021,Land Transport & Supporting Services,1.3
2021,Water Transport & Supporting Services,1.1
2021,Air Transport & Supporting Services,1.0
2021,Other Transportation & Storage Services,1.9
2021,Accommodation,2.6
2021,Food & Beverage Services,2.6
2021,"Telecommunications, Broadcasting & Publishing",1.2
2021,IT & Other Information Services,1.6
2021,Financial Services,1.1
2021,Insurance Services,1.3
2021,Real Estate Services,1.8
2021,"Legal, Accounting & Management Services",1.2
2021,Architectural & Engineering Services,1.3
2021,Other Professional Services,1.1
2021,Security & Investigation,2.8
2021,Cleaning & Landscaping,2.9
2021,Other Administrative & Support Services,1.8
2021,Public Administration & Education,0.7
2021,Health & Social Services,1.2
2021,"Arts, Entertainment & Recreation",1.6
2021,"Other Community, Social & Personal Services",1.6
2021,Others,0.8
2021,"Professionals, Managers, Executives & Technicians",1.1
2021,"Clerical, Sales & Service Workers",2.1
2021,"Production & Transport Operators, Cleaners & Labourers",1.7
2020,"Food, Beverages & Tobacco",1.6
2020,Paper/Rubber/Plastic Products & Printing,1.3
2020,"Petroleum, Chemical & Pharmaceutical Products",1.0
2020,"Fabricated Metal Products, Machinery & Equipment",1.1
2020,"Electronic, Computer & Optical Products",1.3
2020,Transport Equipment,1.0
2020,Other Manufacturing Industries,1.2
2020,Construction,1.3
2020,Wholesale Trade,1.2
2020,Retail Trade,2.0
2020,Land Transport & Supporting Services,1.0
2020,Water Transport & Supporting Services,0.7
2020,Air Transport & Supporting Services,1.0
2020,Other Transportation & Storage Services,1.8
2020,Accommodation,2.6
2020,Food & Beverage Services,2.6
2020,"Telecommunications, Broadcasting & Publishing",1.5
2020,IT & Other Information Services,1.9
2020,Financial Services,1.2
2020,Insurance Services,1.6
2020,Real Estate Services,1.5
2020,"Legal, Accounting & Management Services",1.4
2020,Architectural & Engineering Services,1.3
2020,Other Professional Services,1.4
2020,Security & Investigation,3.0
2020,Cleaning & Landscaping,3.0
2020,Other Administrative & Support Services,2.3
2020,Public Administration & Education,0.6
2020,Health & Social Services,1.1
2020,"Arts, Entertainment & Recreation",1.2
2020,"Other Community, Social & Personal Services",1.4
2020,Others,1.0
2020,"Professionals, Managers, Executives & Technicians",1.1
2020,"Clerical, Sales & Service Workers",2.1
2020,"Production & Transport Operators, Cleaners & Labourers",1.6
2019,"Food, Beverages & Tobacco",2.2
2019,Paper/Rubber/Plastic Products & Printing,1.6
2019,"Petroleum, Chemical & Pharmaceutical Products",1.2
2019,"Fabricated Metal Products, Machinery & Equipment",1.5
2019,"Electronic, Computer & Optical Products",1.5
2019,Transport Equipment,1.3
2019,Other Manufacturing Industries,1.4
2019,Construction,1.3
2019,Wholesale Trade,1.5
2019,Retail Trade,2.4
2019,Land Transport & Supporting Services,1.3
2019,Water Transport & Supporting Services,1.1
2019,Air Transport & Supporting Services,1.5
2019,Other Transportation & Storage Services,2.3
2019,Accommodation,3.8
2019,Food & Beverage Services,2.8
2019,"Telecommunications, Broadcasting & Publishing",1.7
2019,IT & Other Information Services,2.3
2019,Financial Services,1.6
2019,Insurance Services,2.0
2019,Real Estate Services,2.0
2019,"Legal, Accounting & Management Services",1.7
2019,Architectural & Engineering Services,1.5
2019,Other Professional Services,1.6
2019,Security & Investigation,3.8
2019,Cleaning & Landscaping,3.0
2019,Other Administrative & Support Services,3.2
2019,Public Administration & Education,0.9
2019,Health & Social Services,1.5
