Year,Industry,Employed
2022,"Food, Beverages & Tobacco",3.0
2022,Paper/Rubber/Plastic Products & Printing,2.0
2022,"Petroleum, Chemical & Pharmaceutical Products",1.5
2022,"Fabricated Metal Products, Machinery & Equipment",2.3
2022,"Electronic, Computer & Optical Products",2.4
2022,Transport Equipment,2.0
2022,Other Manufacturing Industries,2.4
2022,Construction,3.0
2022,Wholesale Trade,2.1
2022,Retail Trade,3.8
2022,Land Transport & Supporting Services,2.1
2022,Water Transport & Supporting Services,1.7
2022,Air Transport & Supporting Services,2.8
2022,Other Transportation & Storage Services,2.8
2022,Accommodation,4.4
2022,Food & Beverage Services,3.9
2022,"Telecommunications, Broadcasting & Publishing",2.2
2022,IT & Other Information Services,3.5
2022,Financial Services,2.1
2022,Insurance Services,2.3
2022,Real Estate Services,2.5
2022,"Legal, Accounting & Management Services",2.4
2022,Architectural & Engineering Services,2.8
2022,Other Professional Services,2.1
2022,Security & Investigation,3.9
2022,Cleaning & Landscaping,3.9
2022,Other Administrative & Support Services,4.7
2022,Public Administration & Education,1.1
2022,Health & Social Services,2.0
2022,"Arts, Entertainment & Recreation",2.4
2022,"Other Community, Social & Personal Services",2.3
2022,Others,1.7
2022,"Professionals, Managers, Executives & Technicians",2.0
2022,"Clerical, Sales & Service Workers",3.5
2022,"Production & Transport Operators, Cleaners & Labourers",3.2
2021,"Food, Beverages & Tobacco",2.8
2021,Paper/Rubber/Plastic Products & Printing,2.7
2021,"Petroleum, Chemical & Pharmaceutical Products",1.3
2021,"Fabricated Metal Products, Machinery & Equipment",2.2
2021,"Electronic, Computer & Optical Products",1.7
2021,Transport Equipment,1.0
2021,Other Manufacturing Industries,2.0
2021,Construction,1.5
2021,Wholesale Trade,1.8
2021,Retail Trade,3.0
2021,Land Transport & Supporting Services,1.4
2021,Water Transport & Supporting Services,1.5
2021,Air Transport & Supporting Services,1.1
2021,Other Transportation & Storage Services,2.5
2021,Accommodation,2.5
2021,Food & Beverage Services,3.6
2021,"Telecommunications, Broadcasting & Publishing",2.0
2021,IT & Other Information Services,3.2
2021,Financial Services,1.7
2021,Insurance Services,1.9
2021,Real Estate Services,2.3
2021,"Legal, Accounting & Management Services",2.4
2021,Architectural & Engineering Services,2.1
2021,Other Professional Services,2.3
2021,Security & Investigation,3.7
2021,Cleaning & Landscaping,3.3
2021,Other Administrative & Support Services,4.1
2021,Public Administration & Education,1.1
2021,Health & Social Services,1.7
2021,"Arts, Entertainment & Recreation",1.4
2021,"Other Community, Social & Personal Services",1.9
2021,Others,1.6
2021,"Professionals, Managers, Executives & Technicians",1.7
2021,"Clerical, Sales & Service Workers",2.9
2021,"Production & Transport Operators, Cleaners & Labourers",2.2
2020,"Food, Beverages & Tobacco",2.2
2020,Paper/Rubber/Plastic Products & Printing,1.4
2020,"Petroleum, Chemical & Pharmaceutical Products",1.0
2020,"Fabricated Metal Products, Machinery & Equipment",1.0
2020,"Electronic, Computer & Optical Products",1.0
